image_id,annotation_id,instance_id,split,background,class_name,object_type,source_image,source_counting_mask,x,y,width,height,crop_x,crop_y,crop_width,crop_height,review_status,selected_method,used_single_method_fallback,n_methods_nonempty,mean_pairwise_iou,mean_component_score,confidence,mask_area,mask_area_ratio_to_box,mask_rectangularity,full_box_like,otsu_component_score,otsu_threshold,otsu_nonempty,adaptive_component_score,adaptive_threshold,adaptive_nonempty,adaptive_component_area,adaptive_component_area_ratio,adaptive_component_overlap_inside,adaptive_component_box_coverage,adaptive_component_center_distance,adaptive_component_bbox_iou,adaptive_component_touches_crop,sauvola_component_score,sauvola_threshold,sauvola_nonempty,sauvola_component_area,sauvola_component_area_ratio,sauvola_component_overlap_inside,sauvola_component_box_coverage,sauvola_component_center_distance,sauvola_component_bbox_iou,sauvola_component_touches_crop,otsu_component_area,otsu_component_area_ratio,otsu_component_overlap_inside,otsu_component_box_coverage,otsu_component_center_distance,otsu_component_bbox_iou,otsu_component_touches_crop,manual_status,manual_reviewed,manual_notes,final_mask_source
1000,1,1,validation,bright,B.subtilis,other,preprocessed_intensity_sigma040/local_flatfield/bright/1000.png,processed_plate_strategy_b_circle/counting_mask/bright/1000.png,577,738,137,136,556,717,179,178,auto_candidate,consensus,False,2,0.3660405009325873,0.6686469536088686,0.5622396234366196,5495,0.2949227136109918,0.6499112950916618,False,0.0,0.427734375,False,0.8246386106070166,0.1029595807194709,True,5490.0,0.2946543580936024,1.0,0.2946543580936024,0.0176082507128459,0.4537891799055388,0.0,0.5126552966107206,0.0839113444089889,True,24732.0,1.3273937312151138,0.6031052886948084,0.80055817947617,0.2091229746831837,0.5847718285104513,1.0,,,,,,,,approved,True,Visual inspection passed,box_guided_pseudo_mask
1000,2,2,validation,bright,B.subtilis,other,preprocessed_intensity_sigma040/local_flatfield/bright/1000.png,processed_plate_strategy_b_circle/counting_mask/bright/1000.png,909,435,152,151,886,412,198,197,auto_candidate,consensus,False,3,0.4919662653234113,0.7488143596684207,0.7217139367305623,9218,0.4016207737887766,0.7221308264786526,False,0.8939797377438223,0.1058670431375503,True,0.8443420453870331,0.089281290769577,True,7228.0,0.3149180899268037,1.0,0.3149180899268037,0.0497142919212215,0.5561606831648658,0.0,0.5081212958744066,0.0717230439186096,True,37378.0,1.6285291042174974,0.6030285194499438,0.9820494945974207,0.0126573026769875,0.5884222940060504,1.0,8940.0,0.3895085395608226,1.0,0.3895085395608226,0.0458970872391232,0.5367723945625653,0.0,approved,True,Visual inspection passed,box_guided_pseudo_mask
1000,3,3,validation,bright,B.subtilis,other,preprocessed_intensity_sigma040/local_flatfield/bright/1000.png,processed_plate_strategy_b_circle/counting_mask/bright/1000.png,1079,1684,151,151,1056,1661,197,197,needs_review,consensus,False,3,0.1347415421603984,0.6023869461900229,0.5381143182321486,7846,0.3441077145739222,0.6090669150752989,False,0.4223134210626079,0.416015625,True,0.8578447917702827,0.095283642411232,True,7508.0,0.3292838033419586,1.0,0.3292838033419586,0.0293795841439119,0.5649752203850709,0.0,0.5270026257371779,0.0773189216852188,True,28792.0,1.2627516337002762,0.666851903306474,0.8420683303363887,0.3257721667422373,0.6367738130345031,1.0,16.0,0.0007017236086136,1.0,0.0007017236086136,1.154067333022091,0.0010522162304353,0.0,approved,True,Visual inspection passed,box_guided_pseudo_mask
1000,4,4,validation,bright,B.subtilis,other,preprocessed_intensity_sigma040/local_flatfield/bright/1000.png,processed_plate_strategy_b_circle/counting_mask/bright/1000.png,632,1772,151,151,609,1749,197,197,needs_review,consensus,False,3,0.1249060226116382,0.5812031381453538,0.5261983631722149,3764,0.1650804789263628,0.1912115824231648,False,0.4730282501185475,0.384765625,True,0.5334213004183244,0.1753931790590286,True,3964.0,0.1738520240340336,0.9301210898082743,0.1617034340599096,0.3005943728031844,0.5232811059907834,1.0,0.7371598638991897,0.143789529800415,True,11150.0,0.4890136397526424,0.8941704035874439,0.4372615236173852,0.0798443500807035,0.6510529711972781,1.0,10.0,0.0004385772553835,1.0,0.0004385772553835,0.782830760092764,0.000877154510767,0.0,approved,True,Visual inspection passed,box_guided_pseudo_mask
1001,1_01,1,train,bright,P.aeruginosa,other,preprocessed_intensity_sigma040/local_flatfield/bright/1001.png,processed_plate_strategy_b_circle/counting_mask/bright/1001.png,1148,429,92,87,1134,415,120,115,auto_candidate,consensus,False,3,0.599345482386424,0.6686754721904619,0.7272411077114331,6003,0.75,0.6871565934065934,False,0.939134988883264,0.1489353775978088,True,0.5675425561210942,0.1401994973421096,True,8123.0,1.0148675662168916,0.6806598547334729,0.6907796101949025,0.1499408465158694,0.58,1.0,0.499348871567028,0.1127560213208198,True,13800.0,1.7241379310344829,0.6321739130434783,1.0899550224887555,0.0158197755084115,0.58,1.0,4123.0,0.5151174412793603,1.0,0.5151174412793603,0.0556640301713885,0.7205147426286856,0.0,approved,True,Visual inspection passed,box_guided_pseudo_mask
1001,2_01,2,train,bright,P.aeruginosa,other,preprocessed_intensity_sigma040/local_flatfield/bright/1001.png,processed_plate_strategy_b_circle/counting_mask/bright/1001.png,926,1379,84,79,913,1366,110,105,auto_candidate,consensus,False,3,0.6389271055953839,0.6711853707906004,0.7420986352746245,5717,0.8615129596142255,0.7827217962760131,False,0.9313178208363858,0.1409620344638824,True,0.5868774350736755,0.1366515755653381,True,7187.0,1.0830319469559977,0.7075274801725338,0.7662748643761302,0.030891112157249,0.5745454545454546,1.0,0.4953608564617398,0.109897069633007,True,11550.0,1.740506329113924,0.6313419913419913,1.098854731766124,0.0173768261849946,0.5745454545454546,1.0,4019.0,0.6056359252561784,0.9982582732022892,0.6045810729355033,0.0550451438728264,0.9085492586947486,0.0,approved,True,Visual inspection passed,box_guided_pseudo_mask
1001,3_01,3,train,bright,P.aeruginosa,other,preprocessed_intensity_sigma040/local_flatfield/bright/1001.png,processed_plate_strategy_b_circle/counting_mask/bright/1001.png,1846,851,52,49,1838,843,68,65,needs_review,consensus,False,3,0.1259680733364943,0.5860722450455013,0.5285177236859735,523,0.2052590266875981,0.2902330743618202,False,0.5202212462410447,0.3137944340705871,True,0.5462882530576721,0.1976231038570404,True,141.0,0.0553375196232339,1.0,0.0553375196232339,0.6021182402578926,0.1098901098901098,0.0,0.6917072358377866,0.1646179407835006,True,1576.0,0.6185243328100472,0.866751269035533,0.5361067503924647,0.2062352296329176,0.6978787878787879,1.0,520.0,0.2040816326530612,0.8365384615384616,0.1707221350078493,0.1571915813140055,0.3567961165048544,1.0,approved,True,Visual inspection passed,box_guided_pseudo_mask
1002,1_02,1,train,bright,E.coli,other,preprocessed_intensity_sigma040/local_flatfield/bright/1002.png,processed_plate_strategy_b_circle/counting_mask/bright/1002.png,609,150,116,112,592,133,150,146,needs_review,consensus,False,3,0.1808679261448828,0.5860338487069815,0.5477173136335016,4222,0.3249692118226601,0.413921568627451,False,0.4659597768175612,0.447265625,True,0.6367516230040958,0.2336085885763168,True,4559.0,0.3509082512315271,0.9135775389339768,0.3205818965517241,0.3936285873124913,0.5721973094170404,1.0,0.6553901462992872,0.1935227066278457,True,9441.0,0.7266779556650246,0.8240652473254951,0.5988300492610837,0.1880188595423039,0.6714211886304909,1.0,14.0,0.0010775862068965,1.0,0.0010775862068965,0.8383243544632647,0.0019242610837438,0.0,approved,True,Visual inspection passed,box_guided_pseudo_mask
1002,2_02,2,train,bright,E.coli,other,preprocessed_intensity_sigma040/local_flatfield/bright/1002.png,processed_plate_strategy_b_circle/counting_mask/bright/1002.png,659,131,109,109,643,115,141,141,needs_review,consensus,False,3,0.1811786472077687,0.5981941811958188,0.5526901990010467,3939,0.331537749347698,0.4303507046869879,False,0.48983488904086,0.439453125,True,0.6594209063010829,0.242418497800827,True,4322.0,0.3637740930898072,0.8986580286904211,0.3269085093847319,0.2895724877468609,0.6345455790699267,1.0,0.6453267482455137,0.2008131444454193,True,8666.0,0.7293998821648009,0.8376413570274637,0.610975507112196,0.2716967528537851,0.6440084896460735,1.0,18.0,0.0015150239878798,1.0,0.0015150239878798,0.6672244359988985,0.0030300479757596,0.0,approved,True,Visual inspection passed,box_guided_pseudo_mask
1002,3_02,3,train,bright,E.coli,other,preprocessed_intensity_sigma040/local_flatfield/bright/1002.png,processed_plate_strategy_b_circle/counting_mask/bright/1002.png,303,600,161,160,279,576,209,208,auto_candidate,consensus,False,2,0.9220869912210694,0.8806952140737934,0.8416751992235583,9243,0.3588121118012422,0.7708924103419517,False,0.0,0.482421875,False,0.8667824558195854,0.1070885509252548,True,9208.0,0.3574534161490683,1.0,0.3574534161490683,0.0322261046569083,0.4654503105590062,0.0,0.8946079723280014,0.0867652297019958,True,10024.0,0.3891304347826086,1.0,0.3891304347826086,0.0288071059617848,0.5222049689440994,0.0,207.0,0.0080357142857142,0.1835748792270531,0.0014751552795031,1.3285243843827457,0.0403042365652544,1.0,approved,True,Visual inspection passed,box_guided_pseudo_mask
